nama;cash;cash_type;cash_score;property_plant_equipment;sumber_asset_lainnya;asset_lainnya;asset_lainnya_type;asset_lainnya_score;sumber_asset_keluarga;asset_keluarga;asset_keluarga_type;asset_keluarga_score;total_asset;total_asset_type;total_asset_score;total_hutang;modal;debt_to_asset_ratio;debt_to_asset_ratio_cat;debt_to_asset_ratio_score;equity_to_asset_ratio;equity_to_asset_ratio_cat;equity_to_asset_ratio_score;debt_to_equity_ratio;debt_to_equity_ratio_cat;debt_to_equity_ratio_score;cash_financial_inflow;cash_financial_outflow;cash_flow_financial;cash_flow_financial_type;cash_flow_financial_score;target
Alexandra Gallegos;43228000;>=25.000.000;1000;37158000;property, plant and equipment;431426000;>=200000000;1000;Rumah dan properti;5834617000;>=2000000000;1000;6346429000;>=5000000000 dan < 7000000000;500;957054000;5389375000;0,15;excellent;850;0,85;excellent;850;0,18;excellent;820;80008000;60173000;19835000;arus kas positif;1000;877,5
George Bonilla;62461000;>=25.000.000;1000;59578000;inventory;576705000;>=200000000;1000;Kendaraan;5012298000;>=2000000000;1000;5711042000;>=5000000000 dan < 7000000000;500;963003000;4748039000;0,17;excellent;830;0,83;excellent;830;0,2;excellent;800;71545000;69546000;1999000;arus kas positif;1000;870
Renee Wang;66750000;>=25.000.000;1000;45730000;asset keluarga ;652598000;>=200000000;1000;Rumah dan properti;5621673000;>=2000000000;1000;6386751000;>=5000000000 dan < 7000000000;500;391776000;5994975000;0,06;excellent;940;0,94;excellent;940;0,07;excellent;930;99070000;55917000;43153000;arus kas positif;1000;913,75
Michelle Harding;73269000;>=25.000.000;1000;90205000;property, plant and equipment;191520000;>=100000000 dan < 200000000;750;Investasi;1970193000;>=1000000000 dan < 2000000000;750;2325187000;>= 1000000000 dan <5000000000;500;432410000;1892777000;0,19;excellent;810;0,81;excellent;810;0,23;excellent;770;88708000;35007000;53701000;arus kas positif;1000;798,75
Travis Morales;25856000;>=25.000.000;1000;94024000;inventory;197862000;>=100000000 dan < 200000000;750;Dana pensiun;8430666000;>=2000000000;1000;8748408000;>=7000000000;1000;470479000;8277929000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;83769000;88912000;-5143000;arus kas negatif;0;823,75
Steven Noble;88504000;>=25.000.000;1000;40604000;inventory;278728000;>=200000000;1000;Rumah dan properti;8534046000;>=2000000000;1000;8941882000;>=7000000000;1000;443380000;8498502000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;10994000;68184000;-57190000;arus kas negatif;0;856,25
Krystal Rogers;46410000;>=25.000.000;1000;74792000;property, plant and equipment;344072000;>=200000000;1000;Dana pensiun;1801644000;>=1000000000 dan < 2000000000;750;2266918000;>= 1000000000 dan <5000000000;500;884976000;1381942000;0,39;good;610;0,61;good;610;0,64;good;360;20853000;91650000;-70797000;arus kas negatif;0;603,75
Joshua Miller;37118000;>=25.000.000;1000;85208000;asset keluarga ;378311000;>=200000000;1000;Dana pensiun;856769000;>= 500000000 dan <1000000000;500;1357406000;>= 1000000000 dan <5000000000;500;887915000;469491000;0,65;bad;350;0,35;bad;350;1,89;bad;-890;82303000;11620000;70683000;arus kas positif;1000;476,25
Elizabeth Cooke;94739000;>=25.000.000;1000;88540000;inventory;573123000;>=200000000;1000;Aset finansial lainnya;8032671000;>=2000000000;1000;8789073000;>=7000000000;1000;140528000;8648545000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;55912000;43352000;12560000;arus kas positif;1000;992,5
Patricia Watkins;85133000;>=25.000.000;1000;14559000;asset keluarga ;232291000;>=200000000;1000;Rumah dan properti;5066854000;>=2000000000;1000;5398837000;>=5000000000 dan < 7000000000;1000;1000000000;4398837000;0,19;excellent;810;0,81;excellent;810;0,23;excellent;770;35549000;43925000;-8376000;arus kas negatif;0;798,75
Michael Franco;61361000;>=25.000.000;1000;68221000;inventory;204019000;>=200000000;1000;Aset finansial lainnya;9075964000;>=2000000000;1000;9409565000;>=7000000000;1000;753361000;8656204000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;48664000;96833000;-48169000;arus kas negatif;0;843,75
Scott Johnson;66723000;>=25.000.000;1000;74519000;property, plant and equipment;805345000;>=200000000;1000;Investasi;252442000;<500000000;250;1199029000;>= 1000000000 dan <5000000000;500;593922000;605107000;0,5;good;500;0,5;good;500;0,98;bad;20;52263000;54161000;-1898000;arus kas negatif;0;471,25
Jonathan Johnson;68175000;>=25.000.000;1000;53086000;asset keluarga ;19136000;<50000000;250;Kendaraan;3804110000;>=2000000000;1000;3944507000;>= 1000000000 dan <5000000000;500;156793000;3787714000;0,04;excellent;960;0,96;excellent;960;0,04;excellent;960;44243000;64286000;-20043000;arus kas negatif;0;703,75
Christine Brown;4949000;<5.000.000;250;64963000;asset keluarga ;610438000;>=200000000;1000;Dana pensiun;884382000;>= 500000000 dan <1000000000;500;1564732000;>= 1000000000 dan <5000000000;500;845224000;719508000;0,54;good;460;0,46;good;460;1,17;bad;-170;48216000;69158000;-20942000;arus kas negatif;0;375
Jeffrey Christian;95712000;>=25.000.000;1000;91724000;property, plant and equipment;598297000;>=200000000;1000;Rumah dan properti;7474042000;>=2000000000;1000;8259775000;>=7000000000;1000;495113000;7764662000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;75564000;88628000;-13064000;arus kas negatif;0;852,5
Kevin Smith;70206000;>=25.000.000;1000;25017000;inventory;827167000;>=200000000;1000;Investasi;286707000;<500000000;250;1209097000;>= 1000000000 dan <5000000000;500;155681000;1053416000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;35406000;98935000;-63529000;arus kas negatif;0;667,5
Pamela Frye;43632000;>=25.000.000;1000;30048000;property, plant and equipment;895034000;>=200000000;1000;Aset finansial lainnya;4632302000;>=2000000000;1000;5601016000;>=5000000000 dan < 7000000000;500;666879000;4934137000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;42494000;37774000;4720000;arus kas positif;1000;890
Rebecca Wu;48251000;>=25.000.000;1000;29466000;asset keluarga ;910999000;>=200000000;1000;Dana pensiun;2458721000;>=2000000000;1000;3447437000;>= 1000000000 dan <5000000000;500;194866000;3252571000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;77619000;87595000;-9976000;arus kas negatif;0;790
Stephen Peterson;43475000;>=25.000.000;1000;12830000;asset keluarga ;383678000;>=200000000;1000;Investasi;3708021000;>=2000000000;1000;4148004000;>= 1000000000 dan <5000000000;500;323019000;3824985000;0,08;excellent;920;0,92;excellent;920;0,08;excellent;920;29296000;81206000;-51910000;arus kas negatif;0;782,5
Katrina Woodward;84240000;>=25.000.000;1000;32607000;inventory;513265000;>=200000000;1000;Aset finansial lainnya;9414505000;>=2000000000;1000;10044617000;>=7000000000;1000;818700000;9225917000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;55378000;51495000;3883000;arus kas positif;1000;968,75
Cheyenne Thomas;52645000;>=25.000.000;1000;20358000;inventory;235918000;>=200000000;1000;Aset finansial lainnya;9841679000;>=2000000000;1000;10150600000;>=7000000000;1000;202153000;9948447000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;43018000;74148000;-31130000;arus kas negatif;0;867,5
Ronnie Thompson;51397000;>=25.000.000;1000;92742000;inventory;292144000;>=200000000;1000;Aset finansial lainnya;8332044000;>=2000000000;1000;8768327000;>=7000000000;1000;141919000;8626408000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;41424000;16462000;24962000;arus kas positif;1000;992,5
Christopher Hodge;61612000;>=25.000.000;1000;54009000;asset keluarga ;613218000;>=200000000;1000;Tabungan dan deposito;4866764000;>=2000000000;1000;5595603000;>=5000000000 dan < 7000000000;1000;302260000;5293343000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;53293000;84765000;-31472000;arus kas negatif;0;855
Jordan Cummings;58177000;>=25.000.000;1000;30570000;asset keluarga ;191534000;>=100000000 dan < 200000000;750;Rumah dan properti;5065253000;>=2000000000;1000;5345534000;>=5000000000 dan < 7000000000;1000;918331000;4427203000;0,17;excellent;830;0,83;excellent;830;0,21;excellent;790;66617000;95696000;-29079000;arus kas negatif;0;775
Heidi Hughes;99106000;>=25.000.000;1000;54095000;property, plant and equipment;907664000;>=200000000;1000;Investasi;2061361000;>=2000000000;1000;3122226000;>= 1000000000 dan <5000000000;500;593257000;2528969000;0,19;excellent;810;0,81;excellent;810;0,23;excellent;770;60297000;66666000;-6369000;arus kas negatif;0;736,25
Paul Marsh;9024000;>= 5.000.000 dan <15.000.000;500;54700000;inventory;785210000;>=200000000;1000;Dana pensiun;560050000;>= 500000000 dan <1000000000;500;1408984000;>= 1000000000 dan <5000000000;500;965345000;443639000;0,69;bad;310;0,31;bad;310;2,18;bad;-1180;75710000;21980000;53730000;arus kas positif;1000;367,5
Lisa Young;55808000;>=25.000.000;1000;51095000;asset keluarga ;733475000;>=200000000;1000;Aset finansial lainnya;3462260000;>=2000000000;1000;4302638000;>= 1000000000 dan <5000000000;500;986545000;3316093000;0,23;excellent;770;0,77;excellent;770;0,3;good;700;13304000;67474000;-54170000;arus kas negatif;0;717,5
Crystal Gaines;96105000;>=25.000.000;1000;28647000;asset keluarga ;547911000;>=200000000;1000;Tabungan dan deposito;3165856000;>=2000000000;1000;3838519000;>= 1000000000 dan <5000000000;500;526389000;3312130000;0,14;excellent;860;0,86;excellent;860;0,16;excellent;840;93761000;53104000;40657000;arus kas positif;1000;882,5
Vincent Rodriguez;95127000;>=25.000.000;1000;45684000;asset keluarga ;271027000;>=200000000;1000;Investasi;298632000;<500000000;250;710470000;<1000000000;250;567836000;142634000;0,8;bad;200;0,2;bad;200;3,98;bad;-2980;64416000;12670000;51746000;arus kas positif;1000;115
Anne Brewer;13832000;>= 5.000.000 dan <15.000.000;500;70949000;asset keluarga ;517028000;>=200000000;1000;Tabungan dan deposito;7522587000;>=2000000000;1000;8124396000;>=7000000000;1000;162698000;7961698000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;23308000;28095000;-4787000;arus kas negatif;0;805
Richard Tanner;63886000;>=25.000.000;1000;13021000;inventory;53295000;>= 50000000 dan <100000000;500;Dana pensiun;2125415000;>=2000000000;1000;2255617000;>= 1000000000 dan <5000000000;500;624447000;1631170000;0,28;excellent;720;0,72;excellent;720;0,38;good;620;67382000;94953000;-27571000;arus kas negatif;0;632,5
Debra Hernandez;7550000;>= 5.000.000 dan <15.000.000;500;89180000;inventory;879746000;>=200000000;1000;Aset finansial lainnya;6369161000;>=2000000000;1000;7345637000;>=7000000000;1000;177700000;7167937000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;82946000;28032000;54914000;arus kas positif;1000;930
Kelly Carter;62300000;>=25.000.000;1000;28132000;asset keluarga ;228032000;>=200000000;1000;Rumah dan properti;1946126000;>=1000000000 dan < 2000000000;750;2264590000;>= 1000000000 dan <5000000000;500;821831000;1442759000;0,36;good;640;0,64;good;640;0,57;good;430;62337000;56111000;6226000;arus kas positif;1000;745
Thomas Mcdowell;68201000;>=25.000.000;1000;45411000;property, plant and equipment;596610000;>=200000000;1000;Kendaraan;1240359000;>=1000000000 dan < 2000000000;750;1950581000;>= 1000000000 dan <5000000000;500;600467000;1350114000;0,31;good;690;0,69;good;690;0,44;good;560;10008000;68664000;-58656000;arus kas negatif;0;648,75
Alyssa Adams;75843000;>=25.000.000;1000;92765000;inventory;461521000;>=200000000;1000;Rumah dan properti;4133394000;>=2000000000;1000;4763523000;>= 1000000000 dan <5000000000;500;387506000;4376017000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;41311000;12147000;29164000;arus kas positif;1000;906,25
Brenda Hunt;33329000;>=25.000.000;1000;74800000;asset keluarga ;239422000;>=200000000;1000;Investasi;2433288000;>=2000000000;1000;2780839000;>= 1000000000 dan <5000000000;500;535646000;2245193000;0,19;excellent;810;0,81;excellent;810;0,24;excellent;760;69412000;36620000;32792000;arus kas positif;1000;860
Michael Haley;75687000;>=25.000.000;1000;44833000;asset keluarga ;182321000;>=100000000 dan < 200000000;750;Tabungan dan deposito;5731616000;>=2000000000;1000;6034457000;>=5000000000 dan < 7000000000;500;569105000;5465352000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;97930000;80206000;17724000;arus kas positif;1000;871,25
Joshua Hernandez;49906000;>=25.000.000;1000;10889000;asset keluarga ;832761000;>=200000000;1000;Aset finansial lainnya;6353611000;>=2000000000;1000;7247167000;>=7000000000;1000;937250000;6309917000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;73065000;97573000;-24508000;arus kas negatif;0;823,75
Jennifer Moreno;39289000;>=25.000.000;1000;20519000;asset keluarga ;339131000;>=200000000;1000;Kendaraan;1364353000;>=1000000000 dan < 2000000000;750;1763292000;>= 1000000000 dan <5000000000;500;792315000;970977000;0,45;good;550;0,55;good;550;0,82;good;180;84791000;11941000;72850000;arus kas positif;1000;691,25
Francisco Williams;61980000;>=25.000.000;1000;60584000;inventory;831937000;>=200000000;1000;Aset finansial lainnya;9931474000;>=2000000000;1000;10885975000;>=7000000000;1000;494763000;10391212000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;60987000;55463000;5524000;arus kas positif;1000;981,25
Benjamin Howell;77085000;>=25.000.000;1000;13557000;inventory;486508000;>=200000000;1000;Investasi;4805281000;>=2000000000;1000;5382431000;>=5000000000 dan < 7000000000;1000;664953000;4717478000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;72935000;52305000;20630000;arus kas positif;1000;952,5
Chad Velasquez;10688000;>= 5.000.000 dan <15.000.000;500;74516000;asset keluarga ;228838000;>=200000000;1000;Dana pensiun;2314421000;>=2000000000;1000;2628463000;>= 1000000000 dan <5000000000;500;495857000;2132606000;0,19;excellent;810;0,81;excellent;810;0,23;excellent;770;82752000;92173000;-9421000;arus kas negatif;0;673,75
Valerie Beck;87622000;>=25.000.000;1000;70797000;property, plant and equipment;309997000;>=200000000;1000;Dana pensiun;7884414000;>=2000000000;1000;8352830000;>=7000000000;1000;724370000;7628460000;0,09;excellent;910;0,91;excellent;910;0,09;excellent;910;89411000;89673000;-262000;arus kas negatif;0;841,25
Christopher Young PhD;80104000;>=25.000.000;1000;21429000;property, plant and equipment;807713000;>=200000000;1000;Tabungan dan deposito;2364092000;>=2000000000;1000;3273338000;>= 1000000000 dan <5000000000;500;692969000;2580369000;0,21;excellent;790;0,79;excellent;790;0,27;excellent;730;20526000;79168000;-58642000;arus kas negatif;0;726,25
Linda Brewer;45150000;>=25.000.000;1000;99162000;asset keluarga ;915020000;>=200000000;1000;Rumah dan properti;1880117000;>=1000000000 dan < 2000000000;750;2939449000;>= 1000000000 dan <5000000000;500;424780000;2514669000;0,14;excellent;860;0,86;excellent;860;0,17;excellent;830;74962000;85215000;-10253000;arus kas negatif;0;725
Robert Silva;73305000;>=25.000.000;1000;78276000;inventory;404296000;>=200000000;1000;Aset finansial lainnya;4359560000;>=2000000000;1000;4915437000;>= 1000000000 dan <5000000000;500;282482000;4632955000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;90617000;61572000;29045000;arus kas positif;1000;915
Michael Pineda;99113000;>=25.000.000;1000;33975000;asset keluarga ;850204000;>=200000000;1000;Investasi;6927428000;>=2000000000;1000;7910720000;>=7000000000;1000;893484000;7017236000;0,11;excellent;890;0,89;excellent;890;0,13;excellent;870;62972000;22505000;40467000;arus kas positif;1000;956,25
Amanda Robbins;80306000;>=25.000.000;1000;23008000;asset keluarga ;470184000;>=200000000;1000;Kendaraan;1417773000;>=1000000000 dan < 2000000000;750;1991271000;>= 1000000000 dan <5000000000;500;873585000;1117686000;0,44;good;560;0,56;good;560;0,78;good;220;48700000;28268000;20432000;arus kas positif;1000;698,75
Brandon Hunter;58888000;>=25.000.000;1000;34656000;asset keluarga ;598538000;>=200000000;1000;Dana pensiun;9718916000;>=2000000000;1000;10410998000;>=7000000000;1000;838685000;9572313000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;11986000;97860000;-85874000;arus kas negatif;0;843,75
Michelle Smith;28876000;>=25.000.000;1000;75364000;asset keluarga ;771682000;>=200000000;1000;Kendaraan;4365331000;>=2000000000;1000;5241253000;>=5000000000 dan < 7000000000;1000;568415000;4672838000;0,11;excellent;890;0,89;excellent;890;0,12;excellent;880;42027000;91834000;-49807000;arus kas negatif;0;832,5
Michael Flores;36205000;>=25.000.000;1000;21764000;property, plant and equipment;436736000;>=200000000;1000;Kendaraan;6201021000;>=2000000000;1000;6695726000;>=5000000000 dan < 7000000000;1000;196111000;6499615000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;72502000;70781000;1721000;arus kas positif;1000;988,75
Rebecca Gonzales;91479000;>=25.000.000;1000;52140000;property, plant and equipment;744574000;>=200000000;1000;Rumah dan properti;8467092000;>=2000000000;1000;9355285000;>=7000000000;1000;281186000;9074099000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;33295000;13518000;19777000;arus kas positif;1000;988,75
Kristin Rodriguez;2715000;<5.000.000;250;87165000;inventory;849909000;>=200000000;1000;Tabungan dan deposito;3512698000;>=2000000000;1000;4452487000;>= 1000000000 dan <5000000000;500;591896000;3860591000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;16861000;10310000;6551000;arus kas positif;1000;792,5
Robert Beltran;5523000;>= 5.000.000 dan <15.000.000;500;68905000;property, plant and equipment;654191000;>=200000000;1000;Aset finansial lainnya;1845279000;>=1000000000 dan < 2000000000;750;2573898000;>= 1000000000 dan <5000000000;500;964205000;1609693000;0,37;good;630;0,63;good;630;0,6;good;400;65899000;28730000;37169000;arus kas positif;1000;676,25
Jose Olson;32646000;>=25.000.000;1000;55451000;property, plant and equipment;338009000;>=200000000;1000;Dana pensiun;4817580000;>=2000000000;1000;5243686000;>=5000000000 dan < 7000000000;500;941711000;4301975000;0,18;excellent;820;0,82;excellent;820;0,22;excellent;780;78311000;50942000;27369000;arus kas positif;1000;865
Andrew Hamilton;36812000;>=25.000.000;1000;88249000;inventory;77586000;>= 50000000 dan <100000000;500;Aset finansial lainnya;5530899000;>=2000000000;1000;5733546000;>=5000000000 dan < 7000000000;500;789957000;4943589000;0,14;excellent;860;0,86;excellent;860;0,16;excellent;840;92351000;54926000;37425000;arus kas positif;1000;820
Michelle Brown;32992000;>=25.000.000;1000;48123000;asset keluarga ;315604000;>=200000000;1000;Kendaraan;7664270000;>=2000000000;1000;8060989000;>=7000000000;1000;378154000;7682835000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;40053000;95868000;-55815000;arus kas negatif;0;856,25
Timothy Patterson;56682000;>=25.000.000;1000;72059000;inventory;759310000;>=200000000;1000;Rumah dan properti;8664822000;>=2000000000;1000;9552873000;>=7000000000;1000;747096000;8805777000;0,08;excellent;920;0,92;excellent;920;0,08;excellent;920;56114000;83424000;-27310000;arus kas negatif;0;845
Robert Stevenson;18379000;>=15.000.000 dan < 25.000.000;750;14847000;asset keluarga ;562151000;>=200000000;1000;Aset finansial lainnya;8064357000;>=2000000000;1000;8659734000;>=7000000000;1000;935470000;7724264000;0,11;excellent;890;0,89;excellent;890;0,12;excellent;880;44339000;81987000;-37648000;arus kas negatif;0;801,25
Charlotte Guerra;18074000;>=15.000.000 dan < 25.000.000;750;67886000;asset keluarga ;688912000;>=200000000;1000;Aset finansial lainnya;5010448000;>=2000000000;1000;5785320000;>=5000000000 dan < 7000000000;1000;560713000;5224607000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;56791000;86025000;-29234000;arus kas negatif;0;805
Alan Nichols;95590000;>=25.000.000;1000;65856000;asset keluarga ;146019000;>=100000000 dan < 200000000;750;Rumah dan properti;2159901000;>=2000000000;1000;2467366000;>= 1000000000 dan <5000000000;500;473576000;1993790000;0,19;excellent;810;0,81;excellent;810;0,24;excellent;760;46419000;98176000;-51757000;arus kas negatif;0;703,75
Norman Rodriguez;98190000;>=25.000.000;1000;94982000;asset keluarga ;274967000;>=200000000;1000;Aset finansial lainnya;4151560000;>=2000000000;1000;4619699000;>= 1000000000 dan <5000000000;500;140036000;4479663000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;20972000;61804000;-40832000;arus kas negatif;0;801,25
Erika Hall;79122000;>=25.000.000;1000;57235000;property, plant and equipment;725981000;>=200000000;1000;Kendaraan;4457071000;>=2000000000;1000;5319409000;>=5000000000 dan < 7000000000;500;122479000;5196930000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;14208000;44745000;-30537000;arus kas negatif;0;805
Elizabeth Jones;9842000;>= 5.000.000 dan <15.000.000;500;79535000;inventory;179759000;>=100000000 dan < 200000000;750;Dana pensiun;8081168000;>=2000000000;1000;8350304000;>=7000000000;1000;165138000;8185166000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;73698000;21376000;52322000;arus kas positif;1000;898,75
Laura Miller;31239000;>=25.000.000;1000;73802000;property, plant and equipment;418710000;>=200000000;1000;Kendaraan;3079306000;>=2000000000;1000;3603057000;>= 1000000000 dan <5000000000;500;857173000;2745884000;0,24;excellent;760;0,76;excellent;760;0,31;good;690;33573000;10249000;23324000;arus kas positif;1000;838,75
Michael White;68088000;>=25.000.000;1000;28420000;property, plant and equipment;573367000;>=200000000;1000;Dana pensiun;9100450000;>=2000000000;1000;9770325000;>=7000000000;1000;735734000;9034591000;0,08;excellent;920;0,92;excellent;920;0,08;excellent;920;21673000;43380000;-21707000;arus kas negatif;0;845
Dylan Smith;86127000;>=25.000.000;1000;30947000;property, plant and equipment;865298000;>=200000000;1000;Dana pensiun;4900560000;>=2000000000;1000;5882932000;>=5000000000 dan < 7000000000;1000;123006000;5759926000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;49100000;16068000;33032000;arus kas positif;1000;992,5
Zachary Smith;87639000;>=25.000.000;1000;58489000;inventory;905238000;>=200000000;1000;Tabungan dan deposito;7944397000;>=2000000000;1000;8995763000;>=7000000000;1000;296912000;8698851000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;94455000;69331000;25124000;arus kas positif;1000;988,75
Rebecca Kelly;28227000;>=25.000.000;1000;46616000;property, plant and equipment;557641000;>=200000000;1000;Aset finansial lainnya;9843996000;>=2000000000;1000;10476480000;>=7000000000;1000;126219000;10350261000;0,01;excellent;990;0,99;excellent;990;0,01;excellent;990;67128000;89767000;-22639000;arus kas negatif;0;871,25
Mandy Phillips;27280000;>=25.000.000;1000;42376000;asset keluarga ;784478000;>=200000000;1000;Rumah dan properti;5857502000;>=2000000000;1000;6711636000;>=5000000000 dan < 7000000000;1000;693101000;6018535000;0,1;excellent;900;0,9;excellent;900;0,12;excellent;880;98071000;89137000;8934000;arus kas positif;1000;960
Alex Mccoy;95760000;>=25.000.000;1000;35375000;inventory;883610000;>=200000000;1000;Dana pensiun;5423329000;>=2000000000;1000;6438074000;>=5000000000 dan < 7000000000;1000;717702000;5720372000;0,11;excellent;890;0,89;excellent;890;0,13;excellent;870;31849000;42290000;-10441000;arus kas negatif;0;831,25
Darius Thompson;73903000;>=25.000.000;1000;50427000;property, plant and equipment;932023000;>=200000000;1000;Investasi;6982513000;>=2000000000;1000;8038866000;>=7000000000;1000;946854000;7092012000;0,12;excellent;880;0,88;excellent;880;0,13;excellent;870;86087000;36793000;49294000;arus kas positif;1000;953,75
Amanda Gregory;16536000;>=15.000.000 dan < 25.000.000;750;88543000;property, plant and equipment;597002000;>=200000000;1000;Dana pensiun;3695984000;>=2000000000;1000;4398065000;>= 1000000000 dan <5000000000;500;434057000;3964008000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;83270000;32630000;50640000;arus kas positif;1000;867,5
Jason Ellis;53774000;>=25.000.000;1000;31966000;property, plant and equipment;315825000;>=200000000;1000;Kendaraan;5223596000;>=2000000000;1000;5625161000;>=5000000000 dan < 7000000000;500;471811000;5153350000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;50567000;41296000;9271000;arus kas positif;1000;906,25
William Vargas;15621000;>=15.000.000 dan < 25.000.000;750;70680000;property, plant and equipment;949675000;>=200000000;1000;Dana pensiun;4184456000;>=2000000000;1000;5220432000;>=5000000000 dan < 7000000000;500;763587000;4456845000;0,15;excellent;850;0,85;excellent;850;0,17;excellent;830;77172000;25398000;51774000;arus kas positif;1000;847,5
Herbert Richardson;98221000;>=25.000.000;1000;56604000;property, plant and equipment;994726000;>=200000000;1000;Aset finansial lainnya;1040144000;>=1000000000 dan < 2000000000;750;2189695000;>= 1000000000 dan <5000000000;500;535346000;1654349000;0,24;excellent;760;0,76;excellent;760;0,32;good;680;63164000;17724000;45440000;arus kas positif;1000;806,25
Matthew Mitchell;17474000;>=15.000.000 dan < 25.000.000;750;14936000;inventory;298569000;>=200000000;1000;Aset finansial lainnya;9378929000;>=2000000000;1000;9709908000;>=7000000000;1000;139786000;9570122000;0,01;excellent;990;0,99;excellent;990;0,01;excellent;990;47750000;20269000;27481000;arus kas positif;1000;965
Jeremy Travis;7269000;>= 5.000.000 dan <15.000.000;500;66493000;inventory;334363000;>=200000000;1000;Investasi;1612367000;>=1000000000 dan < 2000000000;750;2020492000;>= 1000000000 dan <5000000000;500;240477000;1780015000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;24638000;43967000;-19329000;arus kas negatif;0;671,25
Francisco White;96658000;>=25.000.000;1000;94459000;inventory;809068000;>=200000000;1000;Kendaraan;227280000;<500000000;250;1227465000;>= 1000000000 dan <5000000000;500;495278000;732187000;0,4;good;600;0,6;good;600;0,68;good;320;24846000;22762000;2084000;arus kas positif;1000;658,75
Stephanie Mendez;64819000;>=25.000.000;1000;30221000;asset keluarga ;741663000;>=200000000;1000;Aset finansial lainnya;7525056000;>=2000000000;1000;8361759000;>=7000000000;1000;559923000;7801836000;0,07;excellent;930;0,93;excellent;930;0,07;excellent;930;97545000;95526000;2019000;arus kas positif;1000;973,75
William Jackson;95401000;>=25.000.000;1000;73507000;asset keluarga ;995228000;>=200000000;1000;Rumah dan properti;7963777000;>=2000000000;1000;9127913000;>=7000000000;1000;878551000;8249362000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;40434000;72582000;-32148000;arus kas negatif;0;836,25
Cassandra Mahoney;1875000;<5.000.000;250;53157000;property, plant and equipment;161275000;>=100000000 dan < 200000000;750;Rumah dan properti;5318077000;>=2000000000;1000;5534384000;>=5000000000 dan < 7000000000;1000;724171000;4810213000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;47484000;35100000;12384000;arus kas positif;1000;823,75
Emily Hartman;53668000;>=25.000.000;1000;70055000;property, plant and equipment;770344000;>=200000000;1000;Dana pensiun;8789063000;>=2000000000;1000;9683130000;>=7000000000;1000;446993000;9236137000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;44807000;36913000;7894000;arus kas positif;1000;981,25
Rebecca Rivera;63113000;>=25.000.000;1000;56849000;asset keluarga ;412075000;>=200000000;1000;Kendaraan;681041000;>= 500000000 dan <1000000000;500;1213078000;>= 1000000000 dan <5000000000;500;900635000;312443000;0,74;bad;260;0,26;bad;260;2,88;bad;-1880;36851000;77897000;-41046000;arus kas negatif;0;205
James Green;53667000;>=25.000.000;1000;72397000;property, plant and equipment;132283000;>=100000000 dan < 200000000;750;Kendaraan;971622000;>= 500000000 dan <1000000000;500;1229969000;>= 1000000000 dan <5000000000;500;163700000;1066269000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;38267000;50784000;-12517000;arus kas negatif;0;667,5
Jane Moreno;68731000;>=25.000.000;1000;79095000;asset keluarga ;417673000;>=200000000;1000;Tabungan dan deposito;6055971000;>=2000000000;1000;6621470000;>=5000000000 dan < 7000000000;500;651926000;5969544000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;95118000;86474000;8644000;arus kas positif;1000;898,75
